product_id,product_name,category,stock_quantity,reorder_level,reorder_quantity,unit_price,date_received,last_order_date,sales_volume,status
29-205-1132,Sushi Rice,Grains & Pulses,22,72,70,$4.50 ,8/16/2024,6/29/2024,32,Active
40-681-9981,Arabica Coffee,Beverages,45,77,2,$20.00 ,11/1/2024,5/29/2024,85,Active
06-955-3428,Black Rice,Grains & Pulses,30,38,83,$6.00 ,8/3/2024,6/10/2024,31,Discontinued
71-594-6552,Long Grain Rice,Grains & Pulses,12,59,62,$1.50 ,12/8/2024,2/19/2025,95,Active
57-437-1828,Plum,Fruits & Vegetables,37,30,74,$4.00 ,7/3/2024,10/11/2024,62,Active
21-120-6238,All-Purpose Flour,Grains & Pulses,55,33,14,$1.75 ,12/3/2024,5/26/2024,34,Active
71-516-1996,Corn Oil,Oils & Fats,96,52,16,$2.50 ,3/18/2024,5/7/2024,67,Active
39-629-5554,Egg (Goose),Dairy,44,90,17,$2.50 ,2/3/2025,4/9/2024,21,Active
66-268-8345,Greek Yogurt,Dairy,91,84,11,$3.00 ,12/4/2024,6/2/2024,56,Active
46-452-9419,Egg (Duck),Dairy,43,10,15,$1.00 ,11/18/2024,11/14/2024,27,Active
42-220-9305,White Sugar,Grains & Pulses,91,98,6,$2.00 ,10/19/2024,12/11/2024,100,Active
75-094-1179,Rye Bread,Bakery,26,79,31,$3.00 ,12/13/2024,2/9/2025,47,Active
22-621-2774,Strawberries,Fruits & Vegetables,54,26,16,$6.00 ,3/11/2024,6/30/2024,63,Active
39-449-0772,Feta Cheese,Dairy,94,13,15,$7.00 ,2/27/2024,4/2/2024,20,Active
55-936-2406,Bread Flour,Grains & Pulses,27,93,88,$1.50 ,11/16/2024,3/9/2024,66,Active
82-041-7211,Swiss Cheese,Dairy,49,49,26,$8.00 ,9/10/2024,5/19/2024,78,Active
25-349-7974,Spinach,Fruits & Vegetables,72,70,99,$2.50 ,10/7/2024,5/28/2024,82,Active
66-627-9752,Trout,Seafood,49,73,48,$12.00 ,8/17/2024,10/1/2024,52,Active
78-614-4402,Green Beans,Fruits & Vegetables,81,99,28,$2.00 ,9/30/2024,2/14/2025,20,Active
67-025-1245,Cabbage,Fruits & Vegetables,88,46,55,$1.00 ,4/9/2024,3/6/2024,73,Active
68-418-6724,Parmesan Cheese,Dairy,63,4,85,$12.00 ,12/21/2024,1/13/2025,59,Active
40-795-0753,Raw Sugar,Grains & Pulses,31,43,80,$1.50 ,5/28/2024,2/22/2025,46,Active
02-508-3777,Egg (Quail),Dairy,97,88,81,$0.80 ,11/5/2024,7/7/2024,97,Active
79-741-0770,Mushrooms,Fruits & Vegetables,72,87,39,$6.00 ,6/24/2024,2/24/2025,94,Active
31-211-5803,Oatmeal Biscuit,Bakery,16,9,32,$5.00 ,7/16/2024,8/21/2024,50,Active
16-499-5059,Pear,Fruits & Vegetables,77,20,5,$4.50 ,8/18/2024,11/19/2024,61,Active
76-340-4432,Cucumber,Fruits & Vegetables,19,36,72,$1.75 ,5/3/2024,3/28/2024,31,Active
38-732-7667,Pineapple,Fruits & Vegetables,18,52,22,$3.50 ,8/23/2024,10/13/2024,42,Active
04-240-2226,Olive Oil,Oils & Fats,47,48,73,$6.00 ,8/13/2024,6/28/2024,42,Active
79-136-9840,Herbal Tea,Beverages,77,45,75,$30.00 ,11/5/2024,8/19/2024,25,Active
73-401-5721,Haddock,Seafood,46,28,73,$9.00 ,5/28/2024,10/28/2024,65,Active
91-848-0606,Onion,Fruits & Vegetables,39,22,73,$2.00 ,6/11/2024,7/23/2024,60,Active
26-161-6692,Zucchini,Fruits & Vegetables,61,90,26,$2.50 ,12/22/2024,9/7/2024,79,Active
